transcript_id	base_enst	gene_id	gene_name	chrom	strand	cds_len	n_codons	n_cds_exons	n_internal_junctions	div_by_3	length_filtered	in_txome_ref
ENST00000014914.6	ENST00000014914	ENSG00000013588.9	GPRC5A	chr12	+	1071	357	3	2	True	False	True
ENST00000014930.9	ENST00000014930	ENSG00000013583.10	HEBP1	chr12	-	567	189	4	3	True	False	True
ENST00000016171.6	ENST00000016171	ENSG00000014919.13	COX15	chr10	-	1230	410	9	8	True	False	True
ENST00000016913.8	ENST00000016913	ENSG00000071203.9	MS4A12	chr11	+	801	267	6	5	True	False	True
ENST00000016946.8	ENST00000016946	ENSG00000015568.13	RGPD5	chr2	+	5295	1765	23	22	True	False	True
ENST00000017003.7	ENST00000017003	ENSG00000015532.10	XYLT2	chr17	+	2595	865	11	10	True	True	True
ENST00000019103.8	ENST00000019103	ENSG00000080293.10	SCTR	chr2	-	1320	440	13	12	True	False	True
ENST00000020926.8	ENST00000020926	ENSG00000019505.8	SYT13	chr11	-	1278	426	6	5	True	False	True
ENST00000020945.4	ENST00000020945	ENSG00000019549.13	SNAI2	chr8	-	804	268	3	2	True	False	True
ENST00000022615.9	ENST00000022615	ENSG00000078668.14	VDAC3	chr8	+	849	283	8	7	True	False	True
ENST00000023064.9	ENST00000023064	ENSG00000021488.13	SLC7A9	chr19	-	1461	487	12	11	True	False	True
ENST00000024061.7	ENST00000024061	ENSG00000022567.9	SLC45A4	chr8	-	2394	798	8	7	True	False	True
ENST00000025008.10	ENST00000025008	ENSG00000023287.13	RB1CC1	chr8	-	4782	1594	22	21	True	False	True
ENST00000025301.4	ENST00000025301	ENSG00000023516.9	AKAP11	chr13	+	5703	1901	11	10	True	False	True
ENST00000027335.8	ENST00000027335	ENSG00000079112.10	CDH17	chr8	-	2496	832	17	16	True	False	True
ENST00000029410.10	ENST00000029410	ENSG00000027847.14	B4GALT7	chr5	+	981	327	6	5	True	False	True
ENST00000033079.7	ENST00000033079	ENSG00000031003.10	FAM13B	chr5	-	2745	915	21	20	True	False	True
ENST00000035307.6	ENST00000035307	ENSG00000033100.16	CHPF2	chr7	+	2316	772	4	3	True	False	True
ENST00000037243.7	ENST00000037243	ENSG00000034713.8	GABARAPL2	chr16	+	351	117	4	3	True	False	True
ENST00000037502.11	ENST00000037502	ENSG00000034971.17	MYOC	chr1	-	1512	504	3	2	True	False	True
ENST00000037869.7	ENST00000037869	ENSG00000035141.8	FAM136A	chr2	-	414	138	3	2	True	False	True
ENST00000038176.8	ENST00000038176	ENSG00000035681.9	NSMAF	chr8	-	2751	917	31	30	True	False	True
ENST00000039007.5	ENST00000039007	ENSG00000036473.8	OTC	chrX	+	1062	354	10	9	True	False	True
ENST00000039989.9	ENST00000039989	ENSG00000052841.15	TTC17	chr11	+	3423	1141	24	23	True	False	True
ENST00000040584.6	ENST00000040584	ENSG00000037965.6	HOXC8	chr12	+	726	242	2	1	True	False	True
ENST00000040663.8	ENST00000040663	ENSG00000037757.14	MRI1	chr19	+	1107	369	6	5	True	False	True
ENST00000040738.10	ENST00000040738	ENSG00000038219.13	BOD1L1	chr4	-	9153	3051	26	25	True	False	True
ENST00000040877.2	ENST00000040877	ENSG00000059588.10	TARBP1	chr1	-	4863	1621	30	29	True	False	True
ENST00000042381.9	ENST00000042381	ENSG00000039523.20	RIPOR1	chr16	+	3657	1219	21	20	True	False	True
ENST00000043402.8	ENST00000043402	ENSG00000040608.14	RTN4R	chr22	-	1419	473	2	1	True	False	True
ENST00000044462.12	ENST00000044462	ENSG00000041357.16	PSMA4	chr15	+	783	261	8	7	True	False	True
ENST00000045083.6	ENST00000045083	ENSG00000042062.13	RIPOR3	chr20	-	2838	946	21	20	True	False	True
ENST00000046087.7	ENST00000046087	ENSG00000042813.8	ZPBP	chr7	-	1053	351	8	7	True	False	True
ENST00000046640.9	ENST00000046640	ENSG00000040531.16	CTNS	chr17	+	1101	367	10	9	True	False	True
ENST00000046794.10	ENST00000046794	ENSG00000043462.12	LCP2	chr5	-	1599	533	21	20	True	False	True
ENST00000052754.10	ENST00000052754	ENSG00000011465.17	DCN	chr12	-	1077	359	7	6	True	False	True
ENST00000053243.6	ENST00000053243	ENSG00000048462.11	TNFRSF17	chr16	+	552	184	3	2	True	False	True
ENST00000053468.4	ENST00000053468	ENSG00000048544.6	MRPS10	chr6	-	603	201	7	6	True	True	True
ENST00000053469.9	ENST00000053469	ENSG00000287363.1	GUCA1A	chr6	+	603	201	4	3	True	False	True
ENST00000053867.8	ENST00000053867	ENSG00000030582.18	GRN	chr17	+	1779	593	12	11	True	False	True
ENST00000054650.8	ENST00000054650	ENSG00000041988.15	THAP3	chr1	+	717	239	5	4	True	False	True
ENST00000054666.11	ENST00000054666	ENSG00000049245.13	VAMP3	chr1	+	300	100	5	4	True	False	True
ENST00000054950.4	ENST00000054950	ENSG00000049449.10	RCN1	chr11	+	993	331	6	5	True	False	True
ENST00000055077.8	ENST00000055077	ENSG00000049541.11	RFC2	chr7	-	1062	354	11	10	True	True	True
ENST00000055335.11	ENST00000055335	ENSG00000049769.14	PPP1R3F	chrX	+	2397	799	4	3	True	False	True
ENST00000055682.12	ENST00000055682	ENSG00000050030.15	NEXMIF	chrX	-	4548	1516	3	2	True	False	True
ENST00000056217.10	ENST00000056217	ENSG00000050327.15	ARHGEF5	chr7	+	4791	1597	14	13	True	False	True
ENST00000056233.4	ENST00000056233	ENSG00000050344.9	NFE2L3	chr7	+	2082	694	4	3	True	False	True
ENST00000060969.6	ENST00000060969	ENSG00000052723.12	SIKE1	chr1	-	621	207	5	4	True	False	True
ENST00000061240.7	ENST00000061240	ENSG00000038295.8	TLL1	chr4	+	3039	1013	21	20	True	False	True
ENST00000064571.3	ENST00000064571	ENSG00000054803.4	CBLN4	chr20	-	603	201	3	2	True	False	True
ENST00000064724.8	ENST00000064724	ENSG00000013297.12	CLDN11	chr3	+	621	207	3	2	True	False	True
ENST00000064780.7	ENST00000064780	ENSG00000054967.13	RELT	chr11	+	1290	430	10	9	True	False	True
ENST00000066544.8	ENST00000066544	ENSG00000004897.12	CDC27	chr17	-	2472	824	19	18	True	False	True
ENST00000072644.7	ENST00000072644	ENSG00000058799.15	YIPF1	chr1	-	918	306	8	7	True	False	True
ENST00000072869.9	ENST00000072869	ENSG00000133597.11	ADCK2	chr7	+	1878	626	8	7	True	False	True
ENST00000075120.12	ENST00000075120	ENSG00000059804.16	SLC2A3	chr12	-	1488	496	10	9	True	False	True
ENST00000075503.8	ENST00000075503	ENSG00000060140.9	STYK1	chr12	-	1266	422	9	8	True	False	True
ENST00000078429.9	ENST00000078429	ENSG00000088256.9	GNA11	chr19	+	1077	359	7	6	True	False	True
ENST00000080059.12	ENST00000080059	ENSG00000061273.18	HDAC7	chr12	-	2973	991	26	25	True	False	True
ENST00000081029.8	ENST00000081029	ENSG00000061794.13	MRPS35	chr12	+	969	323	8	7	True	True	True
ENST00000083182.8	ENST00000083182	ENSG00000062725.10	APPBP2	chr17	-	1755	585	13	12	True	False	True
ENST00000084798.9	ENST00000084798	ENSG00000063180.9	CA11	chr19	-	984	328	9	8	True	False	True
ENST00000085219.10	ENST00000085219	ENSG00000012124.17	CD22	chr19	+	2541	847	13	12	True	False	True
ENST00000086933.2	ENST00000086933	ENSG00000063515.2	GSC2	chr22	-	615	205	3	2	True	True	True
ENST00000155093.8	ENST00000155093	ENSG00000067646.12	ZFY	chrY	+	2403	801	7	6	True	False	True
ENST00000155840.12	ENST00000155840	ENSG00000053918.18	KCNQ1	chr11	+	2028	676	16	15	True	False	True
ENST00000155858.10	ENST00000155858	ENSG00000070985.13	TRPM5	chr11	-	3495	1165	24	23	True	True	True
ENST00000155926.8	ENST00000155926	ENSG00000071575.11	TRIB2	chr2	+	1029	343	3	2	True	False	True
ENST00000156109.7	ENST00000156109	ENSG00000068394.11	GPKOW	chrX	-	1428	476	11	10	True	True	True
ENST00000156471.10	ENST00000156471	ENSG00000021776.11	AQR	chr15	-	4455	1485	35	34	True	False	True
ENST00000156499.7	ENST00000156499	ENSG00000129437.10	KLK14	chr19	-	753	251	5	4	True	False	True
ENST00000156626.12	ENST00000156626	ENSG00000070526.15	ST6GALNAC1	chr17	-	1800	600	9	8	True	False	True
ENST00000157600.8	ENST00000157600	ENSG00000071282.12	LMCD1	chr3	+	1095	365	6	5	True	False	True
ENST00000157812.7	ENST00000157812	ENSG00000013275.8	PSMC4	chr19	+	1254	418	11	10	True	False	True
ENST00000158009.6	ENST00000158009	ENSG00000073598.6	FNDC8	chr17	+	972	324	4	3	True	False	True
ENST00000158762.8	ENST00000158762	ENSG00000072818.12	ACAP1	chr17	+	2220	740	22	21	True	False	True
ENST00000158771.9	ENST00000158771	ENSG00000072849.11	DERL2	chr17	-	717	239	7	6	True	True	True
ENST00000159060.3	ENST00000159060	ENSG00000074771.4	NOX3	chr6	-	1704	568	13	12	True	False	True
ENST00000159087.7	ENST00000159087	ENSG00000074855.11	ANO8	chr19	-	3696	1232	18	17	True	False	True
ENST00000159111.9	ENST00000159111	ENSG00000127663.15	KDM4B	chr19	+	3288	1096	21	20	True	False	True
ENST00000160262.10	ENST00000160262	ENSG00000076662.10	ICAM3	chr19	-	1641	547	7	6	True	True	True
ENST00000160298.8	ENST00000160298	ENSG00000076826.9	CAMSAP3	chr19	+	3747	1249	17	16	True	False	True
ENST00000160373.8	ENST00000160373	ENSG00000077063.11	CTTNBP2	chr7	-	4989	1663	23	22	True	True	True
ENST00000160382.10	ENST00000160382	ENSG00000077080.10	ACTL6B	chr7	-	1278	426	14	13	True	False	True
ENST00000160827.9	ENST00000160827	ENSG00000079616.13	KIF22	chr16	+	1995	665	14	13	True	True	True
ENST00000161006.8	ENST00000161006	ENSG00000005001.10	PRSS22	chr16	-	951	317	6	5	True	False	True
ENST00000161559.11	ENST00000161559	ENSG00000079385.22	CEACAM1	chr19	-	1578	526	9	8	True	False	True
ENST00000161863.9	ENST00000161863	ENSG00000047188.16	YTHDC2	chr5	+	4290	1430	29	28	True	False	True
ENST00000162044.14	ENST00000162044	ENSG00000064545.15	TMEM161A	chr19	-	1437	479	12	11	True	False	True
ENST00000162330.10	ENST00000162330	ENSG00000050820.17	BCAR1	chr16	-	2610	870	7	6	True	False	True
ENST00000162391.8	ENST00000162391	ENSG00000065970.9	FOXJ2	chr12	+	1722	574	10	9	True	False	True
ENST00000162749.7	ENST00000162749	ENSG00000067182.8	TNFRSF1A	chr12	-	1365	455	10	9	True	False	True
ENST00000163416.7	ENST00000163416	ENSG00000066455.13	GOLGA5	chr14	+	2193	731	12	11	True	False	True
ENST00000164024.5	ENST00000164024	ENSG00000008300.17	CELSR3	chr3	-	9936	3312	35	34	True	False	True
ENST00000164133.7	ENST00000164133	ENSG00000068971.14	PPP2R5B	chr11	+	1491	497	13	12	True	False	True
ENST00000164139.4	ENST00000164139	ENSG00000068976.14	PYGM	chr11	-	2526	842	20	19	True	False	True
ENST00000164227.10	ENST00000164227	ENSG00000069399.15	BCL3	chr19	+	1362	454	9	8	True	False	True
ENST00000164305.10	ENST00000164305	ENSG00000069943.10	PIGB	chr15	+	1662	554	12	11	True	True	True
ENST00000164640.8	ENST00000164640	ENSG00000067840.12	PDZD4	chrX	-	2307	769	8	7	True	False	True
ENST00000165524.1	ENST00000165524	ENSG00000071677.1	PRLH	chr2	+	261	87	2	1	True	True	True
ENST00000165698.9	ENST00000165698	ENSG00000068615.19	REEP1	chr2	-	603	201	7	6	True	False	True
ENST00000166139.9	ENST00000166139	ENSG00000070404.10	FSTL3	chr19	+	789	263	5	4	True	False	True
ENST00000166244.8	ENST00000166244	ENSG00000070886.12	EPHA8	chr1	+	3015	1005	17	16	True	False	True
ENST00000166345.8	ENST00000166345	ENSG00000071539.14	TRIP13	chr5	+	1296	432	13	12	True	False	True
ENST00000167106.9	ENST00000167106	ENSG00000071246.11	VASH1	chr14	+	1095	365	7	6	True	False	True
ENST00000167586.7	ENST00000167586	ENSG00000186847.6	KRT14	chr17	-	1416	472	8	7	True	False	True
ENST00000167588.4	ENST00000167588	ENSG00000171431.4	KRT20	chr17	-	1272	424	8	7	True	False	True
ENST00000168148.8	ENST00000168148	ENSG00000072080.11	SPP2	chr2	+	633	211	7	6	True	False	True
ENST00000168216.11	ENST00000168216	ENSG00000072506.13	HSD17B10	chrX	-	783	261	6	5	True	True	True
ENST00000168712.3	ENST00000168712	ENSG00000075388.4	FGF4	chr11	-	618	206	3	2	True	False	True
ENST00000168977.6	ENST00000168977	ENSG00000077009.13	NMRK2	chr19	+	690	230	7	6	True	False	True
ENST00000169298.8	ENST00000169298	ENSG00000073849.15	ST6GAL1	chr3	+	1218	406	5	4	True	False	True
ENST00000169551.11	ENST00000169551	ENSG00000075336.12	TIMM21	chr18	+	744	248	6	5	True	False	True
ENST00000170150.4	ENST00000170150	ENSG00000078898.7	BPIFB2	chr20	+	1374	458	15	14	True	False	True
ENST00000170168.9	ENST00000170168	ENSG00000079313.15	REXO1	chr19	-	3663	1221	16	15	True	False	True
ENST00000170447.12	ENST00000170447	ENSG00000075975.16	MKRN2	chr3	+	1248	416	8	7	True	False	True
ENST00000170564.7	ENST00000170564	ENSG00000076650.7	GPATCH1	chr19	+	2793	931	20	19	True	True	True
ENST00000171757.3	ENST00000171757	ENSG00000078589.13	P2RY10	chrX	+	1017	339	1	0	True	False	True
ENST00000172229.8	ENST00000172229	ENSG00000064300.9	NGFR	chr17	+	1281	427	6	5	True	False	True
ENST00000173229.7	ENST00000173229	ENSG00000065320.9	NTN1	chr17	+	1812	604	6	5	True	False	True
ENST00000173527.6	ENST00000173527	ENSG00000066583.12	ISOC1	chr5	+	894	298	5	4	True	True	True
ENST00000173898.12	ENST00000173898	ENSG00000067445.21	TRO	chrX	+	4293	1431	11	10	True	False	True
ENST00000174618.5	ENST00000174618	ENSG00000070444.15	MNT	chr17	-	1746	582	6	5	True	False	True
ENST00000175091.5	ENST00000175091	ENSG00000068697.7	LAPTM4A	chr2	-	699	233	7	6	True	False	True
ENST00000175756.10	ENST00000175756	ENSG00000072135.13	PTPN18	chr2	+	1380	460	15	14	True	False	True
ENST00000176183.6	ENST00000176183	ENSG00000069696.7	DRD4	chr11	+	1257	419	4	3	True	False	True
ENST00000176195.4	ENST00000176195	ENSG00000070031.4	SCT	chr11	-	363	121	4	3	True	False	True
ENST00000176763.10	ENST00000176763	ENSG00000072786.13	STK10	chr5	-	2904	968	19	18	True	False	True
ENST00000177694.2	ENST00000177694	ENSG00000073861.3	TBX21	chr17	+	1605	535	6	5	True	False	True
ENST00000178640.10	ENST00000178640	ENSG00000137764.20	MAP2K5	chr15	+	1344	448	22	21	True	False	True
ENST00000179259.6	ENST00000179259	ENSG00000078237.7	TIGAR	chr12	+	810	270	6	5	True	False	True
ENST00000180166.6	ENST00000180166	ENSG00000078579.9	FGF20	chr8	-	633	211	3	2	True	False	True
ENST00000180173.10	ENST00000180173	ENSG00000003987.14	MTMR7	chr8	-	1980	660	14	13	True	False	True
ENST00000181383.10	ENST00000181383	ENSG00000080618.16	CPB2	chr13	-	1269	423	11	10	True	True	True
ENST00000181839.10	ENST00000181839	ENSG00000065883.16	CDK13	chr7	+	4536	1512	14	13	True	False	True
ENST00000182290.9	ENST00000182290	ENSG00000064201.16	TSPAN32	chr11	+	960	320	10	9	True	False	True
ENST00000182527.4	ENST00000182527	ENSG00000065308.5	TRAM2	chr6	-	1110	370	11	10	True	False	True
ENST00000183605.10	ENST00000183605	ENSG00000066405.13	CLDN18	chr3	+	783	261	5	4	True	False	True
ENST00000184183.8	ENST00000184183	ENSG00000065371.17	ROPN1	chr3	-	636	212	5	4	True	False	True
ENST00000184266.3	ENST00000184266	ENSG00000065518.8	NDUFB4	chr3	+	387	129	3	2	True	True	True
ENST00000184956.11	ENST00000184956	ENSG00000068097.15	HEATR6	chr17	-	3543	1181	20	19	True	True	True
ENST00000185150.9	ENST00000185150	ENSG00000068912.14	ERLEC1	chr2	+	1449	483	14	13	True	False	True
ENST00000186436.10	ENST00000186436	ENSG00000075568.17	TMEM131	chr2	-	5649	1883	41	40	True	False	True
ENST00000187397.8	ENST00000187397	ENSG00000172995.16	ARPP21	chr3	+	2436	812	18	17	True	False	True
ENST00000187762.7	ENST00000187762	ENSG00000072954.7	TMEM38A	chr19	+	897	299	6	5	True	False	True
ENST00000188312.6	ENST00000188312	ENSG00000075089.9	ACTR6	chr12	+	1188	396	11	10	True	False	True
ENST00000188790.9	ENST00000188790	ENSG00000078098.14	FAP	chr2	-	2280	760	26	25	True	False	True
ENST00000190165.3	ENST00000190165	ENSG00000064218.5	DMRT3	chr9	+	1416	472	2	1	True	False	True
ENST00000192314.7	ENST00000192314	ENSG00000154252.12	GAL3ST2	chr2	+	1194	398	4	3	True	False	True
ENST00000192788.6	ENST00000192788	ENSG00000065060.17	UHRF1BP1	chr6	+	4320	1440	21	20	True	False	True
ENST00000193322.8	ENST00000193322	ENSG00000081087.15	OSTM1	chr6	-	1002	334	6	5	True	False	True
ENST00000193391.8	ENST00000193391	ENSG00000081148.12	IMPG2	chr3	-	3723	1241	19	18	True	False	True
ENST00000194130.7	ENST00000194130	ENSG00000081800.9	SLC13A1	chr7	-	1785	595	15	14	True	True	True
ENST00000194152.4	ENST00000194152	ENSG00000081818.4	PCDHB4	chr5	+	2385	795	1	0	True	False	True
ENST00000194155.7	ENST00000194155	ENSG00000112852.7	PCDHB2	chr5	+	2394	798	1	0	True	False	True
ENST00000194214.9	ENST00000194214	ENSG00000081870.11	HSPB11	chr1	-	432	144	5	4	True	False	True
ENST00000194530.8	ENST00000194530	ENSG00000082146.13	STRADB	chr2	+	1254	418	11	10	True	False	True
ENST00000194900.8	ENST00000194900	ENSG00000082458.12	DLG3	chrX	+	2547	849	21	20	True	False	True
ENST00000196061.5	ENST00000196061	ENSG00000083444.17	PLOD1	chr1	+	2181	727	19	18	True	False	True
ENST00000196371.10	ENST00000196371	ENSG00000083720.13	OXCT1	chr5	-	1560	520	17	16	True	False	True
ENST00000196489.4	ENST00000196489	ENSG00000083817.9	ZNF416	chr19	-	1782	594	4	3	True	False	True
ENST00000197268.13	ENST00000197268	ENSG00000084444.14	FAM234B	chr12	+	1866	622	13	12	True	True	True
ENST00000198536.7	ENST00000198536	ENSG00000085514.16	PILRA	chr7	+	909	303	7	6	True	False	True
ENST00000198767.11	ENST00000198767	ENSG00000085721.13	RRN3	chr16	-	1953	651	18	17	True	False	True
ENST00000198801.10	ENST00000198801	ENSG00000166391.15	MOGAT2	chr11	+	1002	334	6	5	True	False	True
ENST00000199280.3	ENST00000199280	ENSG00000167580.7	AQP2	chr12	+	813	271	4	3	True	False	True
ENST00000199320.9	ENST00000199320	ENSG00000086189.10	DIMT1	chr5	-	939	313	12	11	True	False	True
ENST00000199389.11	ENST00000199389	ENSG00000086232.13	EIF2AK1	chr7	-	1890	630	15	14	True	False	True
ENST00000199447.9	ENST00000199447	ENSG00000086288.12	NME8	chr7	+	1764	588	15	14	True	False	True
ENST00000199448.9	ENST00000199448	ENSG00000086289.12	EPDR1	chr7	+	672	224	3	2	True	False	True
ENST00000199708.3	ENST00000199708	ENSG00000086506.3	HBQ1	chr16	+	426	142	3	2	True	True	True
ENST00000199764.7	ENST00000199764	ENSG00000086548.9	CEACAM6	chr19	+	1032	344	5	4	True	False	True
ENST00000199814.9	ENST00000199814	ENSG00000086589.12	RBM22	chr5	-	1260	420	11	10	True	False	True
ENST00000199936.9	ENST00000199936	ENSG00000086696.11	HSD17B2	chr16	+	1161	387	5	4	True	False	True
ENST00000200135.8	ENST00000200135	ENSG00000086827.9	ZW10	chr11	-	2337	779	16	15	True	True	True
ENST00000200453.6	ENST00000200453	ENSG00000087074.8	PPP1R15A	chr19	+	2022	674	2	1	True	False	True
ENST00000200457.9	ENST00000200457	ENSG00000087077.14	TRIP6	chr7	+	1428	476	9	8	True	False	True
ENST00000200557.11	ENST00000200557	ENSG00000073670.14	ADAM11	chr17	+	2307	769	27	26	True	False	True
ENST00000200639.9	ENST00000200639	ENSG00000005893.16	LAMP2	chrX	-	1230	410	9	8	True	False	True
ENST00000200652.4	ENST00000200652	ENSG00000197208.6	SLC22A4	chr5	+	1653	551	10	9	True	False	True
ENST00000200676.8	ENST00000200676	ENSG00000087237.12	CETP	chr16	+	1479	493	16	15	True	False	True
ENST00000200691.5	ENST00000200691	ENSG00000087250.9	MT3	chr16	+	204	68	3	2	True	False	True
ENST00000201031.3	ENST00000201031	ENSG00000087510.7	TFAP2C	chr20	+	1350	450	7	6	True	False	True
ENST00000201586.7	ENST00000201586	ENSG00000088002.12	SULT2B1	chr19	+	1095	365	7	6	True	True	True
ENST00000201647.11	ENST00000201647	ENSG00000131037.15	EPS8L1	chr19	+	2169	723	19	18	True	False	True
ENST00000201979.3	ENST00000201979	ENSG00000088320.4	REM1	chr20	+	894	298	4	3	True	False	True
ENST00000202017.6	ENST00000202017	ENSG00000088356.6	PDRG1	chr20	-	399	133	5	4	True	False	True
ENST00000202556.14	ENST00000202556	ENSG00000088808.18	PPP1R13B	chr14	-	3270	1090	17	16	True	False	True
ENST00000202625.7	ENST00000202625	ENSG00000166948.10	TGM6	chr20	+	2118	706	13	12	True	False	True
ENST00000202677.12	ENST00000202677	ENSG00000188559.15	RALGAPA2	chr20	-	5619	1873	39	38	True	False	True
ENST00000202816.5	ENST00000202816	ENSG00000089048.14	ESF1	chr20	-	2553	851	13	12	True	False	True
ENST00000202917.10	ENST00000202917	ENSG00000089127.13	OAS1	chr12	+	1200	400	6	5	True	False	True
ENST00000202967.4	ENST00000202967	ENSG00000089163.4	SIRT4	chr12	+	942	314	3	2	True	False	True
ENST00000203001.7	ENST00000203001	ENSG00000089195.15	TRMT6	chr20	-	1491	497	11	10	True	False	True
ENST00000203166.10	ENST00000203166	ENSG00000249115.9	HAUS5	chr19	+	1899	633	19	18	True	False	True
ENST00000203407.6	ENST00000203407	ENSG00000010256.11	UQCRC1	chr3	-	1440	480	13	12	True	True	True
ENST00000203556.9	ENST00000203556	ENSG00000089639.11	GMIP	chr19	-	2910	970	21	20	True	False	True
ENST00000203629.3	ENST00000203629	ENSG00000089692.9	LAG3	chr12	+	1575	525	8	7	True	False	True
ENST00000203630.9	ENST00000203630	ENSG00000089693.10	MLF2	chr12	-	744	248	7	6	True	False	True
ENST00000203664.10	ENST00000203664	ENSG00000089723.10	OTUB2	chr14	+	702	234	6	5	True	False	True
ENST00000204517.11	ENST00000204517	ENSG00000090447.12	TFAP4	chr16	-	1014	338	7	6	True	False	True
